Destination,Mood,Temperature (°C),Duration Range (days),Activities,Physicality (1–5),Family Friendly,Budget ($/day),Security (1–5)
Bangkok Variant 624,Adventurous,-10–5,7–14,"Adventure Sports, Trekking, Kayaking",5,No,189,3
Bangkok Variant 624,Romantic,-10–5,5–8,"Adventure Sports, Trekking, Kayaking",4,No,189,3
Bangkok Variant 624,Adventurous,-10–5,5–10,"Adventure Sports, Trekking, Kayaking",5,No,168,3
Lima Variant 991,Luxury,0–15,5–10,"Museums, Cafes, Historic Sites",5,No,430,2
Lima Variant 991,Calm,0–15,3–5,"Museums, Cafes, Historic Sites",1,No,462,3
Lima Variant 991,Adventurous,0–15,7–14,"Museums, Cafes, Historic Sites",5,No,380,4
Lima Variant 991,Adventurous,0–15,10–15,"Museums, Cafes, Historic Sites",2,No,434,3
Lima Variant 991,Relaxed,0–15,5–10,"Museums, Cafes, Historic Sites",4,No,444,3
Lima Variant 991,Calm,0–15,4–7,"Museums, Cafes, Historic Sites",5,No,484,3
Kotor Variant 337,Luxury,-10–5,2–4,"Hiking, Nature, Wildlife",2,Yes,90,4
Kotor Variant 337,Adventurous,-10–5,5–10,"Hiking, Nature, Wildlife",3,Yes,73,5
Kotor Variant 337,Adventurous,-10–5,7–14,"Hiking, Nature, Wildlife",4,Yes,106,3
Kotor Variant 337,Vibrant,-10–5,3–5,"Hiking, Nature, Wildlife",4,Yes,81,5
Kotor Variant 337,Exotic,-10–5,5–8,"Hiking, Nature, Wildlife",5,Yes,84,4
Kotor Variant 337,Relaxed,-10–5,10–15,"Hiking, Nature, Wildlife",1,Yes,107,4
Auckland Variant 87,Historic,20–35,7–14,"Beach, Snorkeling, Relaxation",3,Yes,240,2
Auckland Variant 87,Adventurous,20–35,5–8,"Beach, Snorkeling, Relaxation",4,Yes,281,4
Auckland Variant 87,Relaxed,20–35,4–7,"Beach, Snorkeling, Relaxation",3,Yes,280,4
Auckland Variant 87,Adventurous,20–35,3–5,"Beach, Snorkeling, Relaxation",2,Yes,245,4
Auckland Variant 87,Romantic,20–35,5–10,"Beach, Snorkeling, Relaxation",3,Yes,282,4
Auckland Variant 87,Relaxed,20–35,5–10,"Beach, Snorkeling, Relaxation",5,Yes,286,5
Helsinki Variant 211,Quaint,20–35,5–10,"Skiing, Snowboarding, Hot Springs",4,No,40,2
Helsinki Variant 211,Calm,20–35,4–7,"Skiing, Snowboarding, Hot Springs",5,No,39,5
Helsinki Variant 211,Relaxed,20–35,5–8,"Skiing, Snowboarding, Hot Springs",3,No,41,5
Helsinki Variant 211,Vibrant,20–35,5–8,"Skiing, Snowboarding, Hot Springs",2,No,34,4
Helsinki Variant 211,Adventurous,20–35,10–15,"Skiing, Snowboarding, Hot Springs",2,No,34,3
Helsinki Variant 211,Vibrant,20–35,4–7,"Skiing, Snowboarding, Hot Springs",5,No,43,4
Siem Reap Variant 633,Mysterious,20–35,10–20,"Skiing, Snowboarding, Hot Springs",2,No,280,3
Siem Reap Variant 633,Relaxed,20–35,7–14,"Skiing, Snowboarding, Hot Springs",3,No,263,4
Siem Reap Variant 633,Exotic,20–35,5–10,"Skiing, Snowboarding, Hot Springs",4,No,256,4
Siem Reap Variant 633,Calm,20–35,5–8,"Skiing, Snowboarding, Hot Springs",2,No,298,5
Siem Reap Variant 633,Adventurous,20–35,5–10,"Skiing, Snowboarding, Hot Springs",3,No,297,5
Siem Reap Variant 633,Adventurous,20–35,10–15,"Skiing, Snowboarding, Hot Springs",3,No,239,4
Kotor Variant 81,Wellness,25–40,2–4,"Adventure Sports, Trekking, Kayaking",1,Yes,180,2
Kotor Variant 81,Adventurous,25–40,5–10,"Adventure Sports, Trekking, Kayaking",2,Yes,160,5
Kotor Variant 81,Adventurous,25–40,4–7,"Adventure Sports, Trekking, Kayaking",2,Yes,196,5
Kotor Variant 81,Exotic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",2,Yes,164,4
Kotor Variant 81,Romantic,25–40,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,151,4
Kotor Variant 81,Vibrant,25–40,4–7,"Adventure Sports, Trekking, Kayaking",3,Yes,197,4
Edinburgh Variant 750,Adventurous,10–25,5–10,"Adventure Sports, Trekking, Kayaking",1,No,80,4
Edinburgh Variant 750,Vibrant,10–25,4–7,"Adventure Sports, Trekking, Kayaking",3,No,86,4
Edinburgh Variant 750,Exotic,10–25,10–15,"Adventure Sports, Trekking, Kayaking",2,No,70,4
Edinburgh Variant 750,Calm,10–25,3–5,"Adventure Sports, Trekking, Kayaking",4,No,85,3
Edinburgh Variant 750,Exotic,10–25,3–5,"Adventure Sports, Trekking, Kayaking",2,No,86,5
Edinburgh Variant 750,Calm,10–25,4–7,"Adventure Sports, Trekking, Kayaking",5,No,66,3
Queenstown Variant 256,Romantic,10–25,5–10,"Adventure Sports, Trekking, Kayaking",2,No,480,5
Queenstown Variant 256,Romantic,10–25,5–8,"Adventure Sports, Trekking, Kayaking",4,No,545,3
Queenstown Variant 256,Exotic,10–25,5–8,"Adventure Sports, Trekking, Kayaking",3,No,494,3
Queenstown Variant 256,Exotic,10–25,10–15,"Adventure Sports, Trekking, Kayaking",2,No,511,5
Queenstown Variant 256,Calm,10–25,5–10,"Adventure Sports, Trekking, Kayaking",5,No,428,3
Queenstown Variant 256,Vibrant,10–25,10–15,"Adventure Sports, Trekking, Kayaking",4,No,417,3
Sydney Variant 383,Wild,0–15,10–20,"Museums, Cafes, Historic Sites",3,Yes,350,2
Sydney Variant 383,Relaxed,0–15,3–5,"Museums, Cafes, Historic Sites",3,Yes,395,5
Sydney Variant 383,Vibrant,0–15,4–7,"Museums, Cafes, Historic Sites",3,Yes,340,4
Sydney Variant 383,Vibrant,0–15,7–14,"Museums, Cafes, Historic Sites",1,Yes,339,5
Sydney Variant 383,Energetic,0–15,3–5,"Museums, Cafes, Historic Sites",5,Yes,388,5
Sydney Variant 383,Calm,0–15,5–10,"Museums, Cafes, Historic Sites",5,Yes,403,5
Hanoi Variant 462,Cultural,25–40,2–4,"Museums, Cafes, Historic Sites",1,Yes,460,4
Hanoi Variant 462,Exotic,25–40,10–15,"Museums, Cafes, Historic Sites",4,Yes,472,5
Hanoi Variant 462,Relaxed,25–40,5–8,"Museums, Cafes, Historic Sites",4,Yes,433,4
Hanoi Variant 462,Vibrant,25–40,4–7,"Museums, Cafes, Historic Sites",4,Yes,535,5
Hanoi Variant 462,Energetic,25–40,4–7,"Museums, Cafes, Historic Sites",2,Yes,427,5
Hanoi Variant 462,Romantic,25–40,7–14,"Museums, Cafes, Historic Sites",5,Yes,381,4
Bali Variant 636,Diverse,0–15,10–20,"Skiing, Snowboarding, Hot Springs",3,No,410,2
Bali Variant 636,Energetic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",5,No,476,4
Bali Variant 636,Vibrant,0–15,4–7,"Skiing, Snowboarding, Hot Springs",4,No,438,5
Bali Variant 636,Calm,0–15,10–15,"Skiing, Snowboarding, Hot Springs",2,No,455,3
Bali Variant 636,Energetic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",2,No,360,3
Bali Variant 636,Romantic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",5,No,461,4
Kyoto Variant 721,Spiritual,-10–5,10–20,"Museums, Cafes, Historic Sites",4,Yes,160,4
Kyoto Variant 721,Energetic,-10–5,10–15,"Museums, Cafes, Historic Sites",4,Yes,136,5
Kyoto Variant 721,Relaxed,-10–5,3–5,"Museums, Cafes, Historic Sites",5,Yes,176,5
Kyoto Variant 721,Relaxed,-10–5,4–7,"Museums, Cafes, Historic Sites",3,Yes,135,3
Kyoto Variant 721,Calm,-10–5,5–10,"Museums, Cafes, Historic Sites",5,Yes,149,4
Kyoto Variant 721,Exotic,-10–5,4–7,"Museums, Cafes, Historic Sites",3,Yes,188,5
Hanoi Variant 108,Tropical,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",3,No,150,4
Hanoi Variant 108,Romantic,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",1,No,123,4
Hanoi Variant 108,Adventurous,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",2,No,142,5
Hanoi Variant 108,Exotic,-10–5,5–10,"Spiritual Retreats, Yoga, Wellness",5,No,176,5
Hanoi Variant 108,Calm,-10–5,5–10,"Spiritual Retreats, Yoga, Wellness",5,No,157,5
Hanoi Variant 108,Romantic,-10–5,4–7,"Spiritual Retreats, Yoga, Wellness",1,No,180,4
Bangkok Variant 790,Romantic,-10–5,3–7,"Hiking, Nature, Wildlife",3,Yes,440,3
Bangkok Variant 790,Relaxed,-10–5,4–7,"Hiking, Nature, Wildlife",3,Yes,408,5
Bangkok Variant 790,Energetic,-10–5,5–10,"Hiking, Nature, Wildlife",4,Yes,370,4
Bangkok Variant 790,Adventurous,-10–5,3–5,"Hiking, Nature, Wildlife",3,Yes,377,5
Bangkok Variant 790,Romantic,-10–5,5–10,"Hiking, Nature, Wildlife",1,Yes,504,4
Bangkok Variant 790,Calm,-10–5,3–5,"Hiking, Nature, Wildlife",5,Yes,522,5
Dubrovnik Variant 176,Laid-back,10–25,5–10,"Beach, Snorkeling, Relaxation",1,Yes,110,4
Dubrovnik Variant 176,Adventurous,10–25,3–5,"Beach, Snorkeling, Relaxation",1,Yes,92,4
Dubrovnik Variant 176,Relaxed,10–25,5–10,"Beach, Snorkeling, Relaxation",3,Yes,95,4
Dubrovnik Variant 176,Exotic,10–25,3–5,"Beach, Snorkeling, Relaxation",3,Yes,121,5
Dubrovnik Variant 176,Romantic,10–25,3–5,"Beach, Snorkeling, Relaxation",3,Yes,123,5
Dubrovnik Variant 176,Romantic,10–25,7–14,"Beach, Snorkeling, Relaxation",1,Yes,118,5
Dubai Variant 226,Adventurous,-10–5,2–4,"Hiking, Nature, Wildlife",3,No,470,2
Dubai Variant 226,Energetic,-10–5,5–10,"Hiking, Nature, Wildlife",2,No,516,4
Dubai Variant 226,Relaxed,-10–5,7–14,"Hiking, Nature, Wildlife",4,No,379,4
Dubai Variant 226,Romantic,-10–5,3–5,"Hiking, Nature, Wildlife",4,No,506,5
Dubai Variant 226,Adventurous,-10–5,10–15,"Hiking, Nature, Wildlife",1,No,558,4
Dubai Variant 226,Energetic,-10–5,5–10,"Hiking, Nature, Wildlife",5,No,496,4
Cape Town Variant 217,Laid-back,25–40,10–20,"Beach, Snorkeling, Relaxation",4,No,160,4
Cape Town Variant 217,Romantic,25–40,7–14,"Beach, Snorkeling, Relaxation",5,No,159,4
Cape Town Variant 217,Vibrant,25–40,5–8,"Beach, Snorkeling, Relaxation",5,No,159,3
Cape Town Variant 217,Vibrant,25–40,3–5,"Beach, Snorkeling, Relaxation",5,No,134,4
Cape Town Variant 217,Exotic,25–40,10–15,"Beach, Snorkeling, Relaxation",5,No,180,3
Cape Town Variant 217,Romantic,25–40,5–10,"Beach, Snorkeling, Relaxation",1,No,161,4
Bangkok Variant 119,Cultural,25–40,3–7,"Hiking, Nature, Wildlife",3,Yes,220,3
Bangkok Variant 119,Romantic,25–40,4–7,"Hiking, Nature, Wildlife",5,Yes,236,3
Bangkok Variant 119,Relaxed,25–40,5–8,"Hiking, Nature, Wildlife",2,Yes,218,3
Bangkok Variant 119,Vibrant,25–40,3–5,"Hiking, Nature, Wildlife",1,Yes,195,5
Bangkok Variant 119,Relaxed,25–40,5–8,"Hiking, Nature, Wildlife",5,Yes,264,4
Bangkok Variant 119,Romantic,25–40,4–7,"Hiking, Nature, Wildlife",3,Yes,264,5
Auckland Variant 28,Relaxed,10–25,3–7,"Skiing, Snowboarding, Hot Springs",1,Yes,170,5
Auckland Variant 28,Romantic,10–25,7–14,"Skiing, Snowboarding, Hot Springs",5,Yes,149,5
Auckland Variant 28,Adventurous,10–25,5–8,"Skiing, Snowboarding, Hot Springs",3,Yes,143,3
Auckland Variant 28,Energetic,10–25,5–10,"Skiing, Snowboarding, Hot Springs",4,Yes,153,5
Auckland Variant 28,Exotic,10–25,4–7,"Skiing, Snowboarding, Hot Springs",3,Yes,183,4
Auckland Variant 28,Energetic,10–25,7–14,"Skiing, Snowboarding, Hot Springs",2,Yes,171,3
Tokyo Variant 121,Romantic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",1,No,190,3
Tokyo Variant 121,Romantic,0–15,3–5,"Adventure Sports, Trekking, Kayaking",4,No,166,4
Tokyo Variant 121,Exotic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,225,3
Tokyo Variant 121,Romantic,0–15,5–10,"Adventure Sports, Trekking, Kayaking",4,No,182,3
Tokyo Variant 121,Energetic,0–15,7–14,"Adventure Sports, Trekking, Kayaking",2,No,196,4
Tokyo Variant 121,Vibrant,0–15,5–8,"Adventure Sports, Trekking, Kayaking",5,No,170,3
Queenstown Variant 211,Exotic,-10–5,10–20,"Spiritual Retreats, Yoga, Wellness",1,Yes,270,4
Queenstown Variant 211,Vibrant,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",4,Yes,278,3
Queenstown Variant 211,Relaxed,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",1,Yes,245,5
Queenstown Variant 211,Romantic,-10–5,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,270,5
Queenstown Variant 211,Relaxed,-10–5,10–15,"Spiritual Retreats, Yoga, Wellness",3,Yes,295,3
Queenstown Variant 211,Adventurous,-10–5,7–14,"Spiritual Retreats, Yoga, Wellness",2,Yes,278,5
Sydney Variant 998,Balanced,10–25,7–14,"Skiing, Snowboarding, Hot Springs",1,Yes,160,4
Sydney Variant 998,Relaxed,10–25,5–10,"Skiing, Snowboarding, Hot Springs",4,Yes,176,5
Sydney Variant 998,Calm,10–25,3–5,"Skiing, Snowboarding, Hot Springs",3,Yes,165,3
Sydney Variant 998,Romantic,10–25,4–7,"Skiing, Snowboarding, Hot Springs",2,Yes,183,5
Sydney Variant 998,Exotic,10–25,10–15,"Skiing, Snowboarding, Hot Springs",1,Yes,145,4
Sydney Variant 998,Adventurous,10–25,5–8,"Skiing, Snowboarding, Hot Springs",3,Yes,141,4
Siem Reap Variant 105,Peaceful,10–25,2–4,"Beach, Snorkeling, Relaxation",4,Yes,230,4
Siem Reap Variant 105,Calm,10–25,3–5,"Beach, Snorkeling, Relaxation",3,Yes,266,5
Siem Reap Variant 105,Relaxed,10–25,3–5,"Beach, Snorkeling, Relaxation",2,Yes,232,3
Siem Reap Variant 105,Adventurous,10–25,5–8,"Beach, Snorkeling, Relaxation",1,Yes,224,3
Siem Reap Variant 105,Romantic,10–25,10–15,"Beach, Snorkeling, Relaxation",2,Yes,268,4
Siem Reap Variant 105,Energetic,10–25,5–10,"Beach, Snorkeling, Relaxation",2,Yes,272,3
Zanzibar Variant 471,Cultural,10–25,2–4,"Spiritual Retreats, Yoga, Wellness",4,Yes,90,2
Zanzibar Variant 471,Vibrant,10–25,3–5,"Spiritual Retreats, Yoga, Wellness",3,Yes,85,3
Zanzibar Variant 471,Romantic,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",5,Yes,101,3
Zanzibar Variant 471,Energetic,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",1,Yes,107,3
Zanzibar Variant 471,Exotic,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",4,Yes,96,3
Zanzibar Variant 471,Energetic,10–25,3–5,"Spiritual Retreats, Yoga, Wellness",2,Yes,93,4
New York City Variant 707,Affordable,25–40,2–4,"Adventure Sports, Trekking, Kayaking",3,No,330,2
New York City Variant 707,Calm,25–40,10–15,"Adventure Sports, Trekking, Kayaking",2,No,313,4
New York City Variant 707,Energetic,25–40,7–14,"Adventure Sports, Trekking, Kayaking",3,No,379,4
New York City Variant 707,Vibrant,25–40,7–14,"Adventure Sports, Trekking, Kayaking",3,No,381,5
New York City Variant 707,Energetic,25–40,5–8,"Adventure Sports, Trekking, Kayaking",5,No,282,3
New York City Variant 707,Vibrant,25–40,3–5,"Adventure Sports, Trekking, Kayaking",4,No,268,3
Lofoten Islands Variant 602,Relaxed,0–15,7–14,"Hiking, Nature, Wildlife",5,Yes,230,5
Lofoten Islands Variant 602,Romantic,0–15,5–8,"Hiking, Nature, Wildlife",3,Yes,260,5
Lofoten Islands Variant 602,Exotic,0–15,5–8,"Hiking, Nature, Wildlife",4,Yes,199,4
Lofoten Islands Variant 602,Calm,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,200,5
Lofoten Islands Variant 602,Exotic,0–15,4–7,"Hiking, Nature, Wildlife",2,Yes,232,4
Lofoten Islands Variant 602,Exotic,0–15,5–10,"Hiking, Nature, Wildlife",3,Yes,199,4
Zanzibar Variant 220,Adventurous,0–15,3–7,"Hiking, Nature, Wildlife",2,Yes,370,2
Zanzibar Variant 220,Energetic,0–15,5–8,"Hiking, Nature, Wildlife",1,Yes,309,3
Zanzibar Variant 220,Romantic,0–15,5–10,"Hiking, Nature, Wildlife",5,Yes,375,4
Zanzibar Variant 220,Energetic,0–15,5–8,"Hiking, Nature, Wildlife",5,Yes,347,4
Zanzibar Variant 220,Relaxed,0–15,3–5,"Hiking, Nature, Wildlife",1,Yes,328,5
Zanzibar Variant 220,Adventurous,0–15,7–14,"Hiking, Nature, Wildlife",2,Yes,376,3
Banff Variant 39,Exotic,0–15,3–7,"Spiritual Retreats, Yoga, Wellness",5,No,150,5
Banff Variant 39,Energetic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,168,4
Banff Variant 39,Vibrant,0–15,7–14,"Spiritual Retreats, Yoga, Wellness",1,No,131,3
Banff Variant 39,Energetic,0–15,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,125,3
Banff Variant 39,Exotic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,167,4
Banff Variant 39,Energetic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,158,5
Bali Variant 473,Vibrant,0–15,7–14,"Beach, Snorkeling, Relaxation",4,Yes,270,2
Bali Variant 473,Exotic,0–15,10–15,"Beach, Snorkeling, Relaxation",3,Yes,260,5
Bali Variant 473,Relaxed,0–15,7–14,"Beach, Snorkeling, Relaxation",1,Yes,225,5
Bali Variant 473,Relaxed,0–15,5–10,"Beach, Snorkeling, Relaxation",2,Yes,247,4
Bali Variant 473,Energetic,0–15,5–8,"Beach, Snorkeling, Relaxation",1,Yes,313,5
Bali Variant 473,Relaxed,0–15,5–10,"Beach, Snorkeling, Relaxation",3,Yes,318,5
Riga Variant 669,Spiritual,25–40,10–20,"Hiking, Nature, Wildlife",5,Yes,350,5
Riga Variant 669,Calm,25–40,7–14,"Hiking, Nature, Wildlife",1,Yes,350,4
Riga Variant 669,Calm,25–40,3–5,"Hiking, Nature, Wildlife",4,Yes,333,3
Riga Variant 669,Calm,25–40,7–14,"Hiking, Nature, Wildlife",4,Yes,360,4
Riga Variant 669,Romantic,25–40,4–7,"Hiking, Nature, Wildlife",5,Yes,346,4
Riga Variant 669,Romantic,25–40,7–14,"Hiking, Nature, Wildlife",3,Yes,348,3
Santorini Variant 965,Calm,0–15,10–20,"Skiing, Snowboarding, Hot Springs",1,Yes,240,2
Santorini Variant 965,Energetic,0–15,7–14,"Skiing, Snowboarding, Hot Springs",3,Yes,201,3
Santorini Variant 965,Exotic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",4,Yes,286,5
Santorini Variant 965,Energetic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",4,Yes,207,5
Santorini Variant 965,Exotic,0–15,10–15,"Skiing, Snowboarding, Hot Springs",2,Yes,229,3
Santorini Variant 965,Relaxed,0–15,5–10,"Skiing, Snowboarding, Hot Springs",1,Yes,238,4
Vienna Variant 870,Elegant,25–40,7–14,"Museums, Cafes, Historic Sites",2,Yes,310,4
Vienna Variant 870,Vibrant,25–40,7–14,"Museums, Cafes, Historic Sites",5,Yes,258,4
Vienna Variant 870,Vibrant,25–40,10–15,"Museums, Cafes, Historic Sites",4,Yes,346,3
Vienna Variant 870,Adventurous,25–40,5–8,"Museums, Cafes, Historic Sites",2,Yes,304,5
Vienna Variant 870,Vibrant,25–40,4–7,"Museums, Cafes, Historic Sites",4,Yes,280,3
Vienna Variant 870,Adventurous,25–40,5–8,"Museums, Cafes, Historic Sites",1,Yes,349,3
Muscat Variant 887,Energetic,10–25,3–7,"Museums, Cafes, Historic Sites",3,Yes,60,2
Muscat Variant 887,Energetic,10–25,5–10,"Museums, Cafes, Historic Sites",4,Yes,55,5
Muscat Variant 887,Vibrant,10–25,4–7,"Museums, Cafes, Historic Sites",2,Yes,49,4
Muscat Variant 887,Romantic,10–25,10–15,"Museums, Cafes, Historic Sites",1,Yes,51,5
Muscat Variant 887,Relaxed,10–25,3–5,"Museums, Cafes, Historic Sites",2,Yes,65,4
Muscat Variant 887,Calm,10–25,10–15,"Museums, Cafes, Historic Sites",4,Yes,66,4
Colombo Variant 362,Mysterious,10–25,7–14,"Adventure Sports, Trekking, Kayaking",4,No,360,5
Colombo Variant 362,Relaxed,10–25,5–8,"Adventure Sports, Trekking, Kayaking",3,No,427,5
Colombo Variant 362,Romantic,10–25,5–10,"Adventure Sports, Trekking, Kayaking",5,No,374,3
Colombo Variant 362,Exotic,10–25,7–14,"Adventure Sports, Trekking, Kayaking",2,No,292,4
Colombo Variant 362,Energetic,10–25,3–5,"Adventure Sports, Trekking, Kayaking",3,No,405,5
Colombo Variant 362,Energetic,10–25,10–15,"Adventure Sports, Trekking, Kayaking",4,No,365,3
Auckland Variant 380,Sunny,20–35,10–20,"Adventure Sports, Trekking, Kayaking",2,Yes,160,2
Auckland Variant 380,Calm,20–35,4–7,"Adventure Sports, Trekking, Kayaking",2,Yes,190,5
Auckland Variant 380,Exotic,20–35,3–5,"Adventure Sports, Trekking, Kayaking",2,Yes,160,3
Auckland Variant 380,Vibrant,20–35,5–10,"Adventure Sports, Trekking, Kayaking",2,Yes,145,5
Auckland Variant 380,Relaxed,20–35,4–7,"Adventure Sports, Trekking, Kayaking",4,Yes,185,3
Auckland Variant 380,Adventurous,20–35,5–10,"Adventure Sports, Trekking, Kayaking",5,Yes,147,3
Kotor Variant 442,Diverse,10–25,3–7,"Spiritual Retreats, Yoga, Wellness",4,No,130,3
Kotor Variant 442,Vibrant,10–25,7–14,"Spiritual Retreats, Yoga, Wellness",2,No,133,4
Kotor Variant 442,Relaxed,10–25,5–10,"Spiritual Retreats, Yoga, Wellness",1,No,151,3
Kotor Variant 442,Adventurous,10–25,10–15,"Spiritual Retreats, Yoga, Wellness",1,No,150,5
Kotor Variant 442,Adventurous,10–25,4–7,"Spiritual Retreats, Yoga, Wellness",3,No,113,3
Kotor Variant 442,Adventurous,10–25,4–7,"Spiritual Retreats, Yoga, Wellness",2,No,148,4
Dubai Variant 441,Laid-back,0–15,7–14,"Skiing, Snowboarding, Hot Springs",1,Yes,170,2
Dubai Variant 441,Romantic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",5,Yes,138,5
Dubai Variant 441,Energetic,0–15,5–8,"Skiing, Snowboarding, Hot Springs",5,Yes,174,3
Dubai Variant 441,Vibrant,0–15,5–10,"Skiing, Snowboarding, Hot Springs",4,Yes,199,4
Dubai Variant 441,Romantic,0–15,3–5,"Skiing, Snowboarding, Hot Springs",2,Yes,185,4
Dubai Variant 441,Calm,0–15,3–5,"Skiing, Snowboarding, Hot Springs",4,Yes,171,5
Sofia Variant 535,Luxury,20–35,10–20,"Skiing, Snowboarding, Hot Springs",2,No,450,2
Sofia Variant 535,Adventurous,20–35,5–8,"Skiing, Snowboarding, Hot Springs",2,No,438,4
Sofia Variant 535,Vibrant,20–35,5–8,"Skiing, Snowboarding, Hot Springs",4,No,516,3
Sofia Variant 535,Romantic,20–35,7–14,"Skiing, Snowboarding, Hot Springs",4,No,508,5
Sofia Variant 535,Vibrant,20–35,10–15,"Skiing, Snowboarding, Hot Springs",3,No,474,3
Sofia Variant 535,Calm,20–35,7–14,"Skiing, Snowboarding, Hot Springs",5,No,427,4
Jerusalem Variant 886,Wellness,25–40,5–10,"Beach, Snorkeling, Relaxation",3,No,100,4
Jerusalem Variant 886,Vibrant,25–40,5–8,"Beach, Snorkeling, Relaxation",2,No,106,5
Jerusalem Variant 886,Adventurous,25–40,3–5,"Beach, Snorkeling, Relaxation",2,No,85,3
Jerusalem Variant 886,Vibrant,25–40,4–7,"Beach, Snorkeling, Relaxation",1,No,81,5
Jerusalem Variant 886,Calm,25–40,4–7,"Beach, Snorkeling, Relaxation",2,No,105,3
Jerusalem Variant 886,Exotic,25–40,10–15,"Beach, Snorkeling, Relaxation",4,No,110,5
Edinburgh Variant 282,Spiritual,0–15,10–20,"Spiritual Retreats, Yoga, Wellness",5,No,160,2
Edinburgh Variant 282,Romantic,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,151,3
Edinburgh Variant 282,Adventurous,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",1,No,169,4
Edinburgh Variant 282,Romantic,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",2,No,159,3
Edinburgh Variant 282,Romantic,0–15,10–15,"Spiritual Retreats, Yoga, Wellness",1,No,186,5
Edinburgh Variant 282,Relaxed,0–15,3–5,"Spiritual Retreats, Yoga, Wellness",4,No,188,4
Prague Variant 828,Modern,25–40,5–10,"Beach, Snorkeling, Relaxation",2,Yes,300,2
Prague Variant 828,Adventurous,25–40,7–14,"Beach, Snorkeling, Relaxation",5,Yes,261,4
Prague Variant 828,Exotic,25–40,7–14,"Beach, Snorkeling, Relaxation",3,Yes,250,4
Prague Variant 828,Vibrant,25–40,3–5,"Beach, Snorkeling, Relaxation",5,Yes,306,3
Prague Variant 828,Vibrant,25–40,7–14,"Beach, Snorkeling, Relaxation",4,Yes,253,5
Prague Variant 828,Adventurous,25–40,7–14,"Beach, Snorkeling, Relaxation",4,Yes,293,4
Santorini Variant 149,Modern,10–25,5–10,"Hiking, Nature, Wildlife",3,No,220,2
Santorini Variant 149,Calm,10–25,5–8,"Hiking, Nature, Wildlife",5,No,220,5
Santorini Variant 149,Adventurous,10–25,5–8,"Hiking, Nature, Wildlife",3,No,232,5
Santorini Variant 149,Vibrant,10–25,10–15,"Hiking, Nature, Wildlife",2,No,209,4
Santorini Variant 149,Exotic,10–25,3–5,"Hiking, Nature, Wildlife",3,No,235,5
Santorini Variant 149,Romantic,10–25,5–8,"Hiking, Nature, Wildlife",3,No,234,4
Cape Town Variant 582,Quiet,25–40,2–4,"Skiing, Snowboarding, Hot Springs",3,Yes,480,3
Cape Town Variant 582,Relaxed,25–40,5–10,"Skiing, Snowboarding, Hot Springs",1,Yes,427,5
Cape Town Variant 582,Romantic,25–40,10–15,"Skiing, Snowboarding, Hot Springs",4,Yes,550,3
Cape Town Variant 582,Exotic,25–40,5–8,"Skiing, Snowboarding, Hot Springs",5,Yes,425,5
Cape Town Variant 582,Romantic,25–40,4–7,"Skiing, Snowboarding, Hot Springs",3,Yes,477,3
Cape Town Variant 582,Adventurous,25–40,4–7,"Skiing, Snowboarding, Hot Springs",2,Yes,531,4
Tokyo Variant 704,Romantic,0–15,5–10,"Beach, Snorkeling, Relaxation",5,No,280,3
Tokyo Variant 704,Calm,0–15,4–7,"Beach, Snorkeling, Relaxation",5,No,308,5
Tokyo Variant 704,Romantic,0–15,3–5,"Beach, Snorkeling, Relaxation",1,No,227,4
Tokyo Variant 704,Relaxed,0–15,5–8,"Beach, Snorkeling, Relaxation",4,No,309,3
Tokyo Variant 704,Calm,0–15,4–7,"Beach, Snorkeling, Relaxation",5,No,269,3
Tokyo Variant 704,Exotic,0–15,5–10,"Beach, Snorkeling, Relaxation",4,No,239,5
Zanzibar Variant 861,Vibrant,-10–5,5–10,"Museums, Cafes, Historic Sites",4,Yes,190,2
